Designator,LibRef,Quantity,Supplier 1,Supplier Part Number 1

"C1, C3, C5, C7, C22, C24, C26, C28, C32, C34, C36, C38, C47, C48","CC0402KRX5R6BB105","14","Digi-Key","311-1439-1-ND"
"C2, C4, C6, C8","CC0402KRX7R8BB222","4","Digi-Key","311-1714-1-ND"
"C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C23, C25, C27, C31, C33, C35, C37, C42, C45, C46","CC0402KRX5R6BB104","23","Digi-Key","311-1336-1-ND"
"C29, C30, C39, C40, C41, C49, C51","CC0805KKX5R6BB106","7","Digi-Key","311-1460-1-ND"
"C43, C44","CC0402DRNPO9BN6R8","2","Digi-Key","311-1637-1-ND"
"C50, C52, C53, C54","CC0805KRX7R8BB224","4","Digi-Key","311-1432-1-ND"
"C55, C56","CC0603JRNPO9BN101","2","Digi-Key","311-1069-1-ND"
"J1, J2, J3, J4, J5, J6","5-1814832-1","6","",""
"J7","ARTY","1","",""
"R1, R4, R6, R9, R11, R14, R16, R19, R21, R22, R26, R27","RC0603FR-0710KL","12","Digi-Key","311-10.0KHRCT-ND"
"R2, R7, R12, R17, R31, R32","RC0603FR-071KL","6","Digi-Key","311-1.00KHRCT-ND"
"R3, R8, R13, R18","RC0603FR-07330RL","4","Digi-Key","311-330HRCT-ND"
"R23, R28","RC0603FR-074K02L","2","Digi-Key","311-4.02KHRCT-ND"
"R24, R29","RC0603FR-074K99L","2","Digi-Key","311-4.99KHRCT-ND"
"R25, R30","RC0603FR-071KL","2","Digi-Key","311-1.00KHRCT-ND"
"R33","RC0603FR-07499RL","1","Digi-Key","311-499HRCT-ND"
"U1, U2, U3, U4, U5, U6","TLC082","6","",""
"U7, U8, U9, U10","AD7980ARMZ","4","",""
"U11","AD5545","1","Digi-Key","AD5545BRUZ-ND"
"U12","LT1678","1","Digi-Key","LT1678CS8#PBF-ND"
"U13","MCP1700T-2502E/TT","1","Digi-Key","MCP1700T-2502E/TTCT-ND"
"U14","CMR0515S3C","1","Digi-Key","811-2900-5-ND"
"U15","PDM1-S5-D5-S","1","",""
"VR1, VR2, VR3, VR4","PV36W204C01B00","4","Digi-Key","490-2882-ND"
